name,capital,region
Tanzania,Dodoma,Africa
Andorra,Andorra la Vella,Europe
Iran,Tehran,Asia
Togo,Lomé,Africa
Malta,Valletta,Europe
South Korea,Seoul,Asia
Samoa,Apia,Oceania
Germany,Berlin,Europe
Niger,Niamey,Africa
Bouvet Island,,Antarctic
Jamaica,Kingston,Americas
Nicaragua,Managua,Americas
Guinea,Conakry,Africa
Anguilla,The Valley,Americas
Åland Islands,Mariehamn,Europe
Belgium,Brussels,Europe
Portugal,Lisbon,Europe
Denmark,Copenhagen,Europe
Philippines,Manila,Asia
Wallis and Futuna,Mata-Utu,Oceania
Austria,Vienna,Europe
Guinea-Bissau,Bissau,Africa
Monaco,Monaco,Europe
Namibia,Windhoek,Africa
United States Minor Outlying Islands,Washington DC,Americas
Costa Rica,San José,Americas
Bosnia and Herzegovina,Sarajevo,Europe
Macau,,Asia
Mozambique,Maputo,Africa
Réunion,Saint-Denis,Africa
Montenegro,Podgorica,Europe
North Korea,Pyongyang,Asia
Northern Mariana Islands,Saipan,Oceania
Ukraine,Kyiv,Europe
Iraq,Baghdad,Asia
South Georgia,King Edward Point,Antarctic
Angola,Luanda,Africa
Sierra Leone,Freetown,Africa
Micronesia,Palikir,Oceania
Cuba,Havana,Americas
Turks and Caicos Islands,Cockburn Town,Americas
Serbia,Belgrade,Europe
Ecuador,Quito,Americas
Faroe Islands,Tórshavn,Europe
Antarctica,,Antarctic
Palestine,Ramallah,Asia
Turkey,Ankara,Asia
Kiribati,South Tarawa,Oceania
Kazakhstan,Nur-Sultan,Asia
Gibraltar,Gibraltar,Europe
Iceland,Reykjavik,Europe
Palau,Ngerulmud,Oceania
Qatar,Doha,Asia
Switzerland,Bern,Europe
French Polynesia,Papeetē,Oceania
Pitcairn Islands,Adamstown,Oceania
Jordan,Amman,Asia
Myanmar,Naypyidaw,Asia
Thailand,Bangkok,Asia
Caribbean Netherlands,Kralendijk,Americas
Aruba,Oranjestad,Americas
Guadeloupe,Basse-Terre,Americas
Nigeria,Abuja,Africa
Bahrain,Manama,Asia
Laos,Vientiane,Asia
Cocos (Keeling) Islands,West Island,Oceania
Djibouti,Djibouti,Africa
Solomon Islands,Honiara,Oceania
Heard Island and McDonald Islands,,Antarctic
India,New Delhi,Asia
San Marino,City of San Marino,Europe
Luxembourg,Luxembourg,Europe
Sint Maarten,Philipsburg,Americas
Falkland Islands,Stanley,Americas
Central African Republic,Bangui,Africa
Botswana,Gaborone,Africa
Curaçao,Willemstad,Americas
Guernsey,St. Peter Port,Europe
Norway,Oslo,Europe
Gabon,Libreville,Africa
Zimbabwe,Harare,Africa
Lesotho,Maseru,Africa
Slovenia,Ljubljana,Europe
Argentina,Buenos Aires,Americas
Burkina Faso,Ouagadougou,Africa
Yemen,Sana'a,Asia
DR Congo,Kinshasa,Africa
Oman,Muscat,Asia
Indonesia,Jakarta,Asia
Nauru,Yaren,Oceania
Rwanda,Kigali,Africa
North Macedonia,Skopje,Europe
Kosovo,Pristina,Europe
Netherlands,Amsterdam,Europe
Tunisia,Tunis,Africa
South Sudan,Juba,Africa
Honduras,Tegucigalpa,Americas
Saint Vincent and the Grenadines,Kingstown,Americas
Sri Lanka,Sri Jayawardenepura Kotte,Asia
Hong Kong,City of Victoria,Asia
